Text,Category
huge fat,Insults & Personal Attacks
humping,Explicit
idiot,Insults & Personal Attacks
incest,Explicit
intercourse,Explicit
jack off,Explicit
jail bait,Explicit
jailbait,Explicit
jap eye,Hate Speech & Discrimination
japs eye,Hate Speech & Discrimination
jelly donut,Vulgar
jerk off,Explicit
jew,Hate Speech & Discrimination
jigaboo,Hate Speech & Discrimination
jiggaboo,Hate Speech & Discrimination
jiggerboo,Hate Speech & Discrimination
jizz,Explicit
juggs,Vulgar
junk,Drug Slang
kafir,Hate Speech & Discrimination
karen,Derogatory Slang
kike,Hate Speech & Discrimination
kill yourself,Threatening or Violent Language
kinbaku,Explicit
kinkster,Explicit
kinky,Explicit
kiss my ass,Explicit
knob,Vulgar
knob-head,Insults & Personal Attacks
knobbing,Explicit
kuffar,Hate Speech & Discrimination
kush,Drug Slang
lame,Insults & Personal Attacks
lemon party,Explicit
lesbo,Derogatory Slang
lezza,Derogatory Slang
lezzie,Derogatory Slang
lolita,Explicit
loony,Insults & Personal Attacks
looser,Insults & Personal Attacks
make me come,Explicit
make me cum,Explicit
male squirting,Explicit
mary jane,Drugs
masturbate,Explicit
menage a trois,Explicit
meth,Drugs
midget,Insults & Personal Attacks
milf,Explicit
mincing,Derogatory Slang
minge,Vulgar
missionary position,Explicit
mj,Drugs
mong,Insults & Personal Attacks
moron,Insults & Personal Attacks
motherfucker,Explicit
mr hands,Explicit
muff diver,Explicit
muffdiving,Explicit
munter,Derogatory Slang
muzzie,Hate Speech & Discrimination
nambla,Hate Speech & Discrimination
narcissist,Insults & Personal Attacks
nawashi,Hate Speech & Discrimination
nazi,Hate Speech & Discrimination
negro,Hate Speech & Discrimination
neonazi,Hate Speech & Discrimination
nigga,Hate Speech & Discrimination
nigger,Hate Speech & Discrimination
nig nog,Hate Speech & Discrimination
nimphomania,Explicit
nipple,Explicit
nipples,Explicit
nit wit,Insults & Personal Attacks
nitwit,Insults & Personal Attacks
nonce,Vulgar
nose candy,Drugs
nsfw images,Explicit
nude,Explicit
nudity,Explicit
nutter,Explicit
nympho,Derogatory Slang
nymphomania,Vulgar
obnoxious,Insults & Personal Attacks
octopussy,Explicit
old bag,Insults & Personal Attacks
oldy,Derogatory Slang
omorashi,Explicit
one cup two girls,Explicit
one guy one jar,Explicit
orgasm,Explicit
orgy,Explicit
oxycodone,Drugs
paedophile,Hate Speech & Discrimination
paki,Hate Speech & Discrimination
pancy,Derogatory Slang
papist,Hate Speech & Discrimination
pathetic,Insults & Personal Attacks
pedobear,Hate Speech & Discrimination
pedophile,Hate Speech & Discrimination
pegging,Explicit
penis,Explicit
percocet,Drugs
phone sex,Explicit
piece of shit,Insults & Personal Attacks
pikey,Hate Speech & Discrimination
pissing,Vulgar
piss pig,Insults & Personal Attacks
pisspig,Insults & Personal Attacks
playboy,Insults & Personal Attacks
pleasure chest,Insults & Personal Attacks
polack,Insults & Personal Attacks
pole smoker,Insults & Personal Attacks
ponce,Derogatory Slang
ponyplay,Uncategorized
poof,Hate Speech & Discrimination
poon,Derogatory Slang
poontang,Vulgar
poop chute,Vulgar
poopchute,Explicit
porn,Explicit
porno,Explicit
pornography,Explicit
pot,Drugs
prickteaser,Vulgar
prince albert piercing,Explicit
pthc,Hate Speech & Discrimination
psycho,Insults & Personal Attacks
punani,Insults & Personal Attacks
punany,Insults & Personal Attacks
pubes,Explicit
purple drank,Drugs
pussy,Explicit
pussy Hole,Explicit
queaf,Derogatory Slang
queef,Derogatory Slang
queer,Insults & Personal Attacks
quim,Vulgar
raghead,Hate Speech & Discrimination
raging boner,Hate Speech & Discrimination
rape,Explicit
rapey,Explicit
raping,Explicit
rapist,Explicit
remoaner,Derogatory Slang
repulsive,Insults & Personal Attacks
retard,Insults & Personal Attacks
reverse cowgirl,Explicit
rimjob,Explicit
rimming,Explicit
rosy palm and her 5 sisters,Explicit
rusty trombone,Explicit
santorum,Vulgar
scat,Vulgar
Scaredy-cat,Insults & Personal Attacks
schizo,Insults & Personal Attacks
schlong,Vulgar
scissoring,Explicit
scruffy,Insults & Personal Attacks
semen,Explicit
sex,Explicit
sexo,Explicit
shag,Explicit
sheeny,Hate Speech & Discrimination
sheep shagger,Vulgar
shibari,Explicit
shirt lifter,Hate Speech & Discrimination
shit,Insults & Personal Attacks
sh1t,Insults & Personal Attacks
shota,Hate Speech & Discrimination
show-off,Insults & Personal Attacks
shrimping,Explicit
shut,Insults & Personal Attacks
shut up,Insults & Personal Attacks
simpleton,Insults & Personal Attacks
skag,Drugs
skank,Vulgar
sket,Vulgar
skeet,Vulgar
slanteye,Hate Speech & Discrimination
slut,Vulgar
s&m,Explicit
smack,Drugs
smut,Explicit
snob,Insults & Personal Attacks
sodomize,Explicit
sodomy,Explicit
spakka,Vulgar
spastic,Insults & Personal Attacks
spaz,Insults & Personal Attacks
spic,Hate Speech & Discrimination
splooge,Vulgar
splooge moose,Vulgar
spooge,Vulgar
ssh0le,Explicit
strappado,Explicit
strip club,Explicit
stupid,Insults & Personal Attacks
style doggy,Explicit
suck my balls,Explicit
suicide girls,Explicit
swinger,Explicit
taff,Derogatory Slang
taig,Hate Speech & Discrimination
tarrier,Hate Speech & Discrimination
tart,Vulgar
tea bagging,Explicit
thats gay,Insults & Personal Attacks
threesome,Explicit
throating,Explicit
tit,Explicit
tits,Explicit
titties,Explicit
titty,Explicit
tone deaf,Insults & Personal Attacks
topless gurl,Explicit
topless gal,Explicit
topless girl,Explicit
topless woman,Explicit
towelhead,Hate Speech & Discrimination
tranny,Hate Speech & Discrimination
transsexual,Derogatory Slang
tribadism,Explicit
tub girl,Explicit
tubgirl,Explicit
tushy,Vulgar
twat,Explicit
twink,Derogatory Slang
twinkie,Derogatory Slang
two girls one cup,Explicit
ugly,Insults & Personal Attacks
undressing,Explicit
uppity,Insults & Personal Attacks
upskirt,Explicit
urethra play,Explicit
urophilia,Explicit
vagina,Explicit
vicodin,Drugs
vorarephilia,Explicit
voyeur,Explicit
wank,Vulgar
wanker,Insults & Personal Attacks
weak,Insults & Personal Attacks
weed,Drugs
wetback,Hate Speech & Discrimination
wet dream,Explicit
wheelchair bound,Insults & Personal Attacks
whore,Explicit
wimp,Insults & Personal Attacks
window licker,Insults & Personal Attacks
wog,Hate Speech & Discrimination
worthless,Insults & Personal Attacks
wrapping men,Vulgar
wrinkled starfish,Vulgar
xx,Explicit
xxx,Explicit
yaoi,Explicit
yayo,Drugs
yellow showers,Explicit
yid,Hate Speech & Discrimination
yiffy,Derogatory Slang
zoophilia,Explicit
420,Drug
